"POL_NBR","INSRD_NAME","INSRD_ADDR_1","INSRD_CITY","INSRD_ST","INSRD_ZIP","EFF_DT","EXP_DT","ASL","CLASS_CD","WRT_PREM","ERN_PREM","POL_TYPE","CLAIM_NBR","ACC_DT","RPT_DT","CLM_STATUS","LOSS_TYPE","PD_INDEM","CASE_RSV","PD_ALAE","TOTAL_ALAE","RECOVERY_AMT"
"PLB010119","Linda Gonzalez","2712 1st Ave","Seattle","MI",93351,"2022-11-16","2023-11-16",17.1,16900,1530,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010120","Susan Jackson","2859 2nd St","Portland","IL",68119,"2022-05-07","2023-05-07",17.2,91581,5512,"NULL","PKG","B-CLM-005120","2022-07-06","2022-08-09","REOP","FIRE DAMAGE",4146.0,18171.0,5207.0,7252.0,NULL
"PLB010121","Barbara Williams","311 Oak Ave","Boston","KS",73973,"20240506","20250506",18.2,91580,12914,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010122","Thomas Johnson","6632 1st Ave","Boston","AR",3920,"20240310","20250310",18.2,95648,50756,"NULL","PKG","B-CLM-005122","2024-05-04","2024-06-10","CLSD","LIABILITY - PROPERTY DAMAGE",0.0,997.0,879.0,1287.0,NULL
"PLB010123","David Anderson","883 Cedar Ln","Seattle","AL",42388,"20240117","20250116",18.1,97047,2996,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010124","Linda Hernandez","5110 Oak Ave","Boston","MO",16597,"2022-12-23","2023-12-23",18.2,95648,26738,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010125","Karen Williams","3354 Oak Ave","Austin","CT",96425,"20220929","20230929",18.1,66561,4245,"NULL","PKG","B-CLM-005125","2022-12-24","2022-12-26","OPEN","ADVERTISING INJURY",0.0,3115.0,0.0,0.0,NULL
"PLB010126","Karen Thomas","7291 1st Ave","Denver","AR",89362,"05-15-2024","05-15-2025",17.1,64074,4881,"NULL","PKG","B-CLM-005126","2024-06-23","2024-06-25","OPEN","STRUCTURAL COLLAPSE",0.0,1320.0,0.0,0.0,NULL
"PLB010127","Linda Hernandez","8953 Cedar Ln","Austin","IL",65389,"02-04-2024","02-03-2025",18.1,11039,20310,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010128","Linda Anderson","4509 Washington St","Austin","KY",79779,"20231227","20241226",18.1,50100,3192,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010129","Robert Moore","9715 Cedar Ln","Austin","CO",90591,"20220123","20230123",17.1,10050,43772,"NULL","MONO","B-CLM-005129","2022-07-23","2022-09-08","REOP","ADVERTISING INJURY",8774.0,782.0,1716.0,1716.0,NULL
"PLB010130","Richard Wilson","6347 2nd St","Dallas","MS",52145,"2022-07-19","2023-07-19",17.2,13333,5355,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010131","William Anderson","1640 Park Pl","Portland","KS",9080,"2022-04-03","2023-04-03",18.1,46202,6098,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010132","John Garcia","3188 Washington St","Seattle","KY",28351,"01/13/2022","01/13/2023",18.1,11126,6221,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010133","Patricia Martinez","4874 Oak Ave","Portland","IA",29821,"2023-12-25","2024-12-24",17.2,60010,28666,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010134","William Taylor","9324 Washington St","Boston","MD",88683,"20221212","20231212",18.2,41650,12120,"NULL","PKG","B-CLM-005134","2023-08-20","2023-10-10","REOP","LIABILITY - BODILY INJURY",0.0,0.0,885.0,3463.0,NULL
"PLB010135","Michael Lopez","8910 Main St","Boston","GA",38828,"20231004","20241003",18.2,46202,0,"NULL","MONO","B-CLM-005135","2024-07-17","2024-08-26","CLSD","ADVERTISING INJURY",30173.0,895.0,1345.0,2497.0,NULL
"PLB010136","Mary Gonzalez","3475 Oak Ave","Portland","CO",3526,"08-15-2022","08-15-2023",17.1,16900,20863,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010137","Charles Martinez","3456 Maple Blvd","Seattle","IL",66664,"2022-02-15","2023-02-15",17.2,14279,14505,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010138","Charles Rodriguez","1877 Oak Ave","Seattle","AL",31873,"20231004","20241003",17.1,11039,17917,"NULL","MONO","B-CLM-005138","2024-08-25","2024-09-02","CLSD","STRUCTURAL COLLAPSE",2875.0,13835.0,3743.0,3743.0,NULL
"PLB010139","Joseph Martin","772 Park Pl","Dallas","DE",35090,"20220208","20230208",17.2,11126,1465,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010140","Sarah Hernandez","1029 Oak Ave","Boston","FL",36880,"06-29-2022","06-29-2023",18.2,95625,1241,"NULL","MONO","B-CLM-005140","2022-11-25","2022-12-10","OPEN","PROPERTY DAMAGE",655.0,0.0,0.0,1334.0,NULL
"PLB010141","Mary Jackson","9038 Oak Ave","Austin","AK",79649,"05/27/2022","05/27/2023",17.2,47050,1623,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010142","Barbara Davis","2465 Maple Blvd","Boston","DE",26425,"20231201","20241130",18.1,10010,2331,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010143","Barbara Miller","6748 1st Ave","Seattle","CA",97767,"20220213","20230213",18.2,46202,22579,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010144","Karen Lopez","7691 Park Pl","Seattle","IL",64362,"2022-05-17","2023-05-17",17.2,58010,3714,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010145","Thomas Wilson","3054 2nd St","Austin","IA",36924,"20221104","20231104",17.1,91341,2945,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010146","Karen Hernandez","9659 2nd St","Seattle","ME",52441,"2024-03-11","2025-03-11",17.2,91340,5584,"NULL","MONO","B-CLM-005146","2024-11-15","2024-12-25","OPEN","PERSONAL INJURY",6686.0,0.0,602.0,602.0,NULL
"PLB010147","Linda Brown","2502 2nd St","Austin","IN",2676,"20220502","20230502",17.2,58010,11735,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010148","Charles Lopez","5666 Oak Ave","Portland","ME",12294,"12-06-2023","12-05-2024",18.2,48800,10213,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010149","William Johnson","4570 2nd St","Boston","MI",15802,"07-21-2022","07-21-2023",18.1,95625,780,"NULL","MONO","B-CLM-005149","2023-05-19","2023-05-30","CLSD","ADVERTISING INJURY",991.0,24270.0,400.0,400.0,NULL
"PLB010150","William Lopez","8498 1st Ave","Seattle","NULL",NULL,"2023-01-25","2024-01-25",18.2,44000,6139,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010151","William Taylor","1959 Main St","Dallas","MS",13125,"2022-09-25","2023-09-25",18.2,10050,4764,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010152","Joseph Hernandez","1833 Washington St","Austin","DE",2312,"03/08/2024","03/08/2025",17.1,10060,11053,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010153","Jennifer Hernandez","3830 Elm Dr","Seattle","NULL",NULL,"2024-03-21","2025-03-21",17.2,95648,3460,"NULL","PKG","B-CLM-005153","2024-11-29","2024-12-30","OPEN","PRODUCTS LIABILITY",16293.0,3045.0,1286.0,1286.0,NULL
"PLB010154","David Martinez","2742 Oak Ave","Austin","GA",37509,"20220812","20230812",18.1,50100,124896,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010155","Karen Williams","9425 Maple Blvd","Boston","MN",57575,"04/02/2023","04/01/2024",17.1,60010,1378,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010156","Joseph Hernandez","6706 2nd St","Seattle","HI",72266,"2023-07-14","2024-07-13",17.2,10010,9929,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010157","Robert Jackson","3113 Pine Rd","Austin","IL",66724,"2024-06-10","2025-06-10",18.2,44000,4772,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010158","Susan Garcia","8084 Main St","Portland","NULL",NULL,"2023-02-06","2024-02-06",18.1,10070,4394,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010159","Jennifer Hernandez","5189 Washington St","Seattle","MN",91928,"05-04-2023","05-03-2024",17.2,41650,0,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010160","Linda Miller","5444 Pine Rd","Portland","MN",74859,"2024-06-03","2025-06-03",18.1,44000,0,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010161","William Taylor","1666 1st Ave","Dallas","HI",95187,"2024-03-11","2025-03-11",17.2,52000,20549,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010162","Linda Smith","5461 Cedar Ln","Denver","IL",68245,"2024-03-07","2025-03-07",18.1,60010,17031,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010163","Thomas Martinez","4166 1st Ave","Seattle","LA",4432,"2022-07-24","2023-07-24",17.1,41650,4988,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010164","Richard Moore","2671 Washington St","Seattle","NULL",NULL,"20231022","20241021",17.1,43891,2194,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010165","Elizabeth Hernandez","9367 Washington St","Austin","IA",80271,"2022-10-10","2023-10-10",18.2,10050,2538,"NULL","MONO","B-CLM-005165","2022-11-05","2022-12-11","OPEN","DOG BITE",544.0,7614.0,0.0,0.0,NULL
"PLB010166","Jessica Gonzalez","9031 Main St","Denver","MN",66281,"08/29/2022","08/29/2023",18.1,15102,39797,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010167","James Wilson","9111 Oak Ave","Austin","MO",39033,"06-08-2024","06-08-2025",17.2,91580,1577,"NULL","PKG","B-CLM-005167","2024-12-03","2025-01-03","CLSD","FIRE DAMAGE",0.0,757.0,0.0,819.0,NULL
"PLB010168","Karen Martinez","4452 Park Pl","Portland","ME",86239,"06-21-2024","06-21-2025",17.2,18200,0,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010169","Richard Miller","3128 Oak Ave","Austin","FL",31339,"02/07/2023","02/07/2024",18.1,41668,6671,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010170","Michael Taylor","490 Maple Blvd","Austin","GA",32537,"20230105","20240105",17.1,47050,12432,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010171","Linda Williams","1857 Main St","Austin","IL",60040,"2023-09-09","2024-09-08",18.2,41668,7262,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010172","Barbara Williams","4687 1st Ave","Boston","ME",4014,"06/13/2022","06/13/2023",17.1,11126,3531,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010173","Charles Moore","4575 Maple Blvd","Austin","CT",97123,"05/04/2022","05/04/2023",18.2,10050,3577,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010174","Mary Williams","4701 Maple Blvd","Boston","AL",73404,"20220208","20230208",18.2,14279,28403,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010175","Mary Martinez","6064 Oak Ave","Denver","AL",57782,"10/28/2023","10/27/2024",18.2,46202,12614,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010176","Elizabeth Jones","8202 Park Pl","Seattle","LA",56194,"05-30-2022","05-30-2023",18.1,11039,4944,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010177","Robert Martin","5697 Park Pl","Boston","MA",29236,"20230423","20240422",17.2,10060,30451,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010178","Linda Hernandez","8114 Oak Ave","Portland","KY",58686,"07/12/2023","07/11/2024",17.1,16900,10156,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010179","Michael Smith","8365 Oak Ave","Seattle","MN",21436,"02/09/2024","02/08/2025",17.2,41668,14377,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010180","John Williams","4252 2nd St","Austin","AR",65609,"2024-04-14","2025-04-14",17.1,41668,1751,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010181","Jessica Hernandez","5858 Main St","Portland","CT",76816,"20221108","20231108",18.2,91580,17010,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010182","Sarah Williams","1459 Pine Rd","Boston","MI",17653,"05/18/2023","05/17/2024",18.2,91581,1089,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010183","James Taylor","7381 Oak Ave","Denver","NULL",NULL,"20221114","20231114",17.2,13333,10724,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010184","Elizabeth Garcia","752 Maple Blvd","Denver","ME",56121,"02/02/2023","02/02/2024",18.1,14279,15261,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010185","James Taylor","6134 Park Pl","Austin","AL",67046,"2023-02-01","2024-02-01",18.2,91340,2630,"NULL","PKG","B-CLM-005185","2023-09-16","2023-09-23","REOP","ADVERTISING INJURY",0.0,41310.0,0.0,0.0,NULL
"PLB010186","Robert Martinez","2282 1st Ave","Austin","MI",50801,"20230102","20240102",18.2,64074,8275,"NULL","PKG","B-CLM-005186","2023-01-14","2023-01-20","OPEN","PRODUCTS LIABILITY",1915.0,0.0,437.0,437.0,NULL
"PLB010187","Patricia Garcia","6454 Park Pl","Boston","NULL",NULL,"2024-06-20","2025-06-20",18.1,95648,18546,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010188","Richard Anderson","3781 Elm Dr","Seattle","CA",98623,"2024-05-28","2025-05-28",17.1,91581,60,"NULL","PKG","B-CLM-005188","2024-11-04","2024-12-28","REOP","PERSONAL INJURY",12354.0,528.0,0.0,0.0,NULL
"PLB010189","Mary Lopez","4644 1st Ave","Portland","MD",75489,"20220201","20230201",17.1,43891,12907,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010190","Charles Jones","7789 Cedar Ln","Austin","KS",75889,"20230608","20240607",18.2,95648,12761,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010191","William Taylor","6842 Maple Blvd","Portland","FL",36392,"10-05-2022","10-05-2023",17.2,41650,65685,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010192","Elizabeth Davis","3470 Washington St","Boston","ID",52753,"12-31-2023","12-30-2024",17.2,48800,39702,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010193","Sarah Gonzalez","153 Oak Ave","Dallas","ME",47789,"04-16-2023","04-15-2024",17.2,19007,4494,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010194","David Martinez","7141 Pine Rd","Dallas","AK",39994,"20230314","20240313",17.1,91340,7436,"NULL","PKG","B-CLM-005194","2023-09-15","2023-09-18","CLSD","LIABILITY - PROPERTY DAMAGE",0.0,189.0,1641.0,2844.0,NULL
"PLB010195","John Wilson","7376 2nd St","Dallas","LA",69608,"08-22-2023","08-21-2024",17.2,19007,0,"NULL","MONO","B-CLM-005195","2024-06-09","2024-07-31","OPEN","LIABILITY - BODILY INJURY",0.0,2169.0,1844.0,4452.0,NULL
"PLB010196","Barbara Jones","1367 Washington St","Boston","KY",62633,"12-17-2022","12-17-2023",17.1,43891,8058,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010197","Charles Davis","1159 2nd St","Boston","DE",6955,"01-03-2024","01-02-2025",17.2,47050,899,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010198","David Thomas","2690 Elm Dr","Dallas","MS",98983,"20230402","20240401",17.1,10015,6540,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010199","David Garcia","3853 1st Ave","Portland","MO",28131,"08/23/2022","08/23/2023",17.2,95625,47178,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010200","John Brown","4508 Elm Dr","Denver","MS",17852,"06-30-2022","06-30-2023",18.2,11126,380,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010201","Jennifer Brown","4166 Elm Dr","Boston","AL",90162,"2022-11-30","2023-11-30",18.1,10005,8351,"NULL","PKG","B-CLM-005201","2023-02-07","2023-02-11","OPEN","FIRE DAMAGE",0.0,0.0,4212.0,4212.0,NULL
"PLB010202","Karen Jackson","6738 Maple Blvd","Denver","MI",62872,"20240212","20250211",18.2,10015,41177,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010203","William Thomas","3355 Main St","Dallas","ID",62792,"05-12-2024","05-12-2025",17.1,97047,12043,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010204","Michael Anderson","2236 1st Ave","Austin","CA",92145,"2022-01-17","2023-01-17",18.2,10040,3238,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010205","Jessica Williams","5875 Cedar Ln","Dallas","IL",68201,"20240627","20250627",17.1,11126,11379,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010206","William Martinez","6128 Main St","Denver","KY",91776,"08-12-2022","08-12-2023",17.1,62003,6816,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010207","David Jones","2429 Pine Rd","Austin","LA",96463,"01/17/2024","01/16/2025",17.2,10015,38260,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010208","David Miller","109 Oak Ave","Dallas","CA",94713,"20220719","20230719",17.2,52000,2819,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010209","Jessica Rodriguez","9554 Park Pl","Denver","KS",55829,"04/27/2022","04/27/2023",18.2,64074,23333,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010210","Richard Johnson","9794 Maple Blvd","Portland","MO",12833,"2022-09-09","2023-09-09",17.1,17000,6617,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010211","Richard Jackson","3606 1st Ave","Seattle","AR",34392,"12-16-2023","12-15-2024",18.2,44000,20566,"NULL","MONO","B-CLM-005211","2024-03-08","2024-05-07","CLSD","FIRE DAMAGE",1946.0,18915.0,0.0,0.0,NULL
"PLB010212","Robert Johnson","134 2nd St","Dallas","AZ",2455,"04/14/2022","04/14/2023",17.1,91341,9677,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010213","Jessica Brown","4479 Washington St","Portland","NULL",NULL,"11-14-2022","11-14-2023",17.1,95625,19682,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010214","Patricia Thomas","3766 Maple Blvd","Austin","GA",35277,"05/22/2022","05/22/2023",18.2,45190,11159,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010215","William Miller","4043 2nd St","Dallas","MN",20109,"20240414","20250414",18.2,11000,19832,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010216","Mary Johnson","4231 1st Ave","Dallas","IA",77657,"2022-05-10","2023-05-10",17.1,11039,3917,"NULL","PKG","B-CLM-005216","2023-01-11","2023-02-07","CLSD","LIABILITY - BODILY INJURY",11144.0,520.0,1671.0,1671.0,NULL
"PLB010217","Michael Jones","5547 Park Pl","Portland","MI",86899,"2022-11-19","2023-11-19",17.1,95625,21700,"NULL","MONO","B-CLM-005217","2023-05-09","2023-05-12","REOP","PRODUCTS LIABILITY",0.0,7911.0,2397.0,3356.0,NULL
"PLB010218","John Thomas","6936 2nd St","Denver","AK",93593,"04-11-2023","04-10-2024",18.2,51350,1769,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010219","Sarah Wilson","367 Park Pl","Boston","MA",49079,"05/22/2024","05/22/2025",17.2,15102,19800,"NULL","PKG","B-CLM-005219","2024-07-19","2024-08-03","CLSD","MEDICAL PAYMENTS",0.0,0.0,0.0,0.0,NULL
"PLB010220","Michael Garcia","6021 Oak Ave","Portland","IL",68811,"07-29-2023","07-28-2024",17.2,11126,9188,"NULL","MONO","B-CLM-005220","2024-06-24","2024-07-25","OPEN","ADVERTISING INJURY",0.0,6096.0,0.0,0.0,NULL
"PLB010221","Joseph Taylor","2100 2nd St","Boston","NULL",NULL,"09/03/2022","09/03/2023",18.1,95625,7161,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010222","John Williams","2758 Elm Dr","Portland","ID",28837,"03/18/2024","03/18/2025",18.1,95648,0,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010223","Mary Johnson","7520 Pine Rd","Austin","NULL",NULL,"20240523","20250523",18.2,91341,1322,"NULL","PKG","B-CLM-005223","2024-07-10","2024-08-29","CLSD","PRODUCTS LIABILITY",133818.0,15254.0,0.0,0.0,NULL
"PLB010224","Mary Brown","999 Maple Blvd","Boston","ID",24624,"10-27-2023","10-26-2024",18.2,44000,3758,"NULL","PKG","B-CLM-005224","2024-07-19","2024-08-26","CLSD","COMPLETED OPERATIONS",4054.0,22800.0,0.0,0.0,1453.0
"PLB010225","Mary Rodriguez","5203 Park Pl","Denver","MS",18984,"20221104","20231104",17.1,91340,1848,"NULL","PKG","B-CLM-005225","2023-01-13","2023-02-06","OPEN","PRODUCTS LIABILITY",0.0,65.0,0.0,0.0,NULL
"PLB010226","Jennifer Jackson","1801 Main St","Seattle","AK",32283,"20221116","20231116",17.1,49100,13118,"NULL","MONO","B-CLM-005226","2023-09-13","2023-09-20","CLSD","PROPERTY DAMAGE",0.0,2274.0,0.0,2254.0,NULL
"PLB010227","Michael Taylor","4895 Cedar Ln","Dallas","ME",69694,"2024-03-24","2025-03-24",18.2,19007,9070,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010228","Michael Rodriguez","2200 Washington St","Dallas","AR",91320,"20231225","20241224",18.1,16900,15656,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010229","Michael Jones","3487 1st Ave","Portland","MS",33774,"20220315","20230315",17.2,50100,34001,"NULL","MONO","B-CLM-005229","2022-06-30","2022-08-23","CLSD","FIRE DAMAGE",1425.0,0.0,394.0,1170.0,NULL
"PLB010230","Elizabeth Rodriguez","3000 1st Ave","Austin","CO",78197,"03/04/2022","03/04/2023",18.2,45190,8673,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010231","Robert Smith","3940 2nd St","Seattle","IA",38821,"07-25-2022","07-25-2023",18.2,19007,33368,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010232","Linda Moore","9511 Park Pl","Dallas","MN",78020,"04-12-2022","04-12-2023",18.1,43891,29738,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010233","David Jackson","3368 1st Ave","Boston","AL",99951,"2023-05-08","2024-05-07",17.2,47050,2301,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010234","Susan Moore","369 Oak Ave","Austin","DE",92360,"11/29/2022","11/29/2023",18.1,15102,2156,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010235","Mary Rodriguez","291 Washington St","Seattle","MS",14973,"03/16/2022","03/16/2023",18.2,10060,15140,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010236","Mary Thomas","4639 Park Pl","Dallas","MD",7365,"05/02/2022","05/02/2023",18.1,10070,32920,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010237","Jennifer Smith","1697 Washington St","Austin","DE",43223,"08-13-2023","08-12-2024",17.1,10015,6313,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010238","Susan Brown","1489 Elm Dr","Dallas","CT",12616,"2022-07-22","2023-07-22",18.1,16900,6260,"NULL","MONO","B-CLM-005238","2022-09-20","2022-10-14","OPEN","DOG BITE",1699.0,727.0,0.0,0.0,NULL
"PLB010239","Karen Anderson","4674 Cedar Ln","Portland","LA",93036,"06-24-2024","06-24-2025",18.2,41650,9598,"NULL","PKG","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
"PLB010240","Patricia Moore","7953 1st Ave","Boston","IA",92082,"04/04/2022","04/04/2023",17.2,66561,25863,"NULL","MONO","NULL","NULL","NULL","NULL","NULL",NULL,NULL,NULL,NULL,NULL
